IK	bD	deger
34	Banka Çalışan Sayısı	0.1730980603818007
34	Tasarruf Mevduatı	243030.92213404566
34	Resmi Kuruluşlar Mevduatı	3607.988672188776
34	Ticari Kuruluşlar Mevduatı	174634.35317276744
34	Bankalar Mevduatı	49913.31863696504
34	Döviz Tevdiat Hesapları	151904.94400778835
34	Diğer Mevduat	25743.664498417606
34	Altın Depo Hesabı	6759.788633154003
34	İhtisas Kredileri/ Tarım	1593.3679844000912
34	İhtisas Kredileri/ Mesleki	713.6927132268397
34	İhtisas Kredileri/ Denizcilik	6.650907387925264
34	İhtisas Kredileri/ Turizm	329.22087102947705
34	İhtisas Kredileri/ Diğer	9478.813877307424
34	İht.Dışı Krediler	892038.6774556707
34	ATM Sayısı	0.025491294477732417
34	Pos Sayısı	1.283748968989374
34	Üye İşyeri Sayısı	0.8254348939390675
34	Tasarruf Mevduatı Hesap Adedi	52.60983322931012
34	Resmi Kuruluşlar Mevduatı Hesap Adedi	0.0799679538727488
34	Ticari Kuruluşlar Mevduat Hesap Adedi	6.434405734025653
34	Bankalar Mevduatı Hesap Adedi	0.007406074816346014
34	Döviz Tevdiat Hesap Adedi	7.815394467909233
34	Diğer Mevduat Hesap Adedi	0.24779534995178715
34	Altın Depo Hesabı Hesap Adedi	0.6460980709655859
75	Banka Çalışan Sayısı	0.039648904489781596
75	Tasarruf Mevduatı	122737.11433654837
75	Resmi Kuruluşlar Mevduatı	25755.073454118618
75	Ticari Kuruluşlar Mevduatı	16241.885815197913
75	Bankalar Mevduatı	0
75	Döviz Tevdiat Hesapları	21191.783584728935
75	Diğer Mevduat	5823.263202915422
75	Altın Depo Hesabı	1780.0604159855027
75	İhtisas Kredileri/ Tarım	128309.69281461614
75	İhtisas Kredileri/ Mesleki	2439.4118019082707
75	İhtisas Kredileri/ Denizcilik	0
75	İhtisas Kredileri/ Turizm	18.777160079716467
75	İhtisas Kredileri/ Diğer	6642.9818942199245
75	İht.Dışı Krediler	255131.70347641723
75	ATM Sayısı	0.016779965641983984
75	Pos Sayısı	1.226464690574131
75	Üye İşyeri Sayısı	0.7419022775730815
75	Tasarruf Mevduatı Hesap Adedi	107.70541216126492
75	Resmi Kuruluşlar Mevduatı Hesap Adedi	1.4291746808494037
75	Ticari Kuruluşlar Mevduat Hesap Adedi	5.7151175303263475
75	Bankalar Mevduatı Hesap Adedi	0.006110869943292007
75	Döviz Tevdiat Hesap Adedi	6.8363323130240055
75	Diğer Mevduat Hesap Adedi	0.892155659570939
75	Altın Depo Hesabı Hesap Adedi	1.2278916285539834
8	Banka Çalışan Sayısı	0.09911078686960909
8	Tasarruf Mevduatı	81855.42979948106
8	Resmi Kuruluşlar Mevduatı	3762.6487766534956
8	Ticari Kuruluşlar Mevduatı	15201.388281171523
