IK	IA	degisken	deger
1	Adana	TYYS	601.3179589324606
1	Adana	TYA	17938344.175508812
1	Adana	TOPA	6460488.406284984
1	Adana	TOPB	1756958.817922638
1	Adana	TOPC	951485.1425940723
1	Adana	TARA	3512596.331493524
1	Adana	TARB	2071463.9541768811
1	Adana	TARC	2598394.8954246845
1	Adana	SEBA	122106.57072570396
1	Adana	SEBB	105980.1040965258
1	Adana	SEBC	1020.4182444045202
1	Adana	MEYA	190813.8112325498
1	Adana	MEYB	217849.85162258323
1	Adana	MEYC	53774.36446558846
1	Adana	KAVA	15850.592265211202
1	Adana	KAVB	8408.866148271683
1	Adana	KAVC	2780.6031692768247
1	Adana	TEOKA	42699.05162718426
1	Adana	TEOKB	2607.1346789762047
1	Adana	TEOKC	55202.03644244631
1	Adana	MEAA	17416.835080566056
1	Adana	MEAB	3816.5575405871464
1	Adana	MEAC	26651.969192596327
1	Adana	NAD	159845.31597382706
1	Adana	PAS	627267.3808047001
1	Adana	FORE	4111933.219904022
1	Adana	TEA	1221861.6139609094
1	Adana	KOY	480722.08771992254
2	Adıyaman	TYYS	304.59172886068484
2	Adıyaman	TYA	6392534.58211924
2	Adıyaman	TOPA	2480472.3692891328
2	Adıyaman	TOPB	469410.94527111965
2	Adıyaman	TOPC	2308001.3290668293
2	Adıyaman	TARA	2620186.9471728494
2	Adıyaman	TARB	363937.9040372379
2	Adıyaman	TARC	1643897.8875592784
2	Adıyaman	SEBA	74942.03943445167
2	Adıyaman	SEBB	51811.387757171266
2	Adıyaman	SEBC	5247.534855158153
2	Adıyaman	MEYA	141990.97962594475
2	Adıyaman	MEYB	25074.895988629007
2	Adıyaman	MEYC	196333.83705368033
2	Adıyaman	KAVA	37994.23940736662
2	Adıyaman	KAVB	18117.80784253055
2	Adıyaman	KAVC	6357.764013405526
2	Adıyaman	TEOKA	167710.63452527038
2	Adıyaman	TEOKB	5301.300640839952
2	Adıyaman	TEOKC	80192.61399672466
2	Adıyaman	MEAA	13307.538439409207
2	Adıyaman	MEAB	830.7143507056301
2	Adıyaman	MEAC	13170.143081521253
2	Adıyaman	NAD	164818.5047299256
2	Adıyaman	PAS	658862.2104930205
2	Adıyaman	FORE	782313.9873401439
2	Adıyaman	TEA	797994.7424194312
2	Adıyaman	KOY	122223.67575058978
3	Afyonkarahisar	TYYS	460.16329284524954
3	Afyonkarahisar	TYA	12245937.990492199
3	Afyonkarahisar	TOPA	2990802.052781771
3	Afyonkarahisar	TOPB	741597.4304103588
