IK	degisken	donem	deger
1	ortSıcak	Ocak	8.448737632698352
1	ortSıcak	Şubat	9.548737632698352
1	ortSıcak	Mart	12.448737632698352
1	ortSıcak	Nisan	16.44873763269835
1	ortSıcak	Mayıs	20.74873763269835
1	ortSıcak	Haziran	24.54873763269835
1	ortSıcak	Temmuz	27.14873763269835
1	ortSıcak	Ağustos	27.64873763269835
1	ortSıcak	Eylül	25.04873763269835
1	ortSıcak	Ekim	20.64873763269835
1	ortSıcak	Kasım	14.848737632698352
1	ortSıcak	Aralık	10.148737632698351
1	ortSıcak	Yıllık	18.14873763269835
1	ortEnYükSıcak	Ocak	13.748737632698353
1	ortEnYükSıcak	Şubat	15.148737632698351
1	ortEnYükSıcak	Mart	18.44873763269835
1	ortEnYükSıcak	Nisan	22.64873763269835
1	ortEnYükSıcak	Mayıs	27.24873763269835
1	ortEnYükSıcak	Haziran	30.64873763269835
1	ortEnYükSıcak	Temmuz	32.84873763269835
1	ortEnYükSıcak	Ağustos	33.64873763269836
1	ortEnYükSıcak	Eylül	32.048737632698355
1	ortEnYükSıcak	Ekim	28.04873763269835
1	ortEnYükSıcak	Kasım	21.54873763269835
1	ortEnYükSıcak	Aralık	15.748737632698353
1	ortEnYükSıcak	Yıllık	24.34873763269835
1	ortEnDüşSıcak	Ocak	4.148737632698351
1	ortEnDüşSıcak	Şubat	4.948737632698352
1	ortEnDüşSıcak	Mart	7.248737632698353
1	ortEnDüşSıcak	Nisan	10.848737632698352
1	ortEnDüşSıcak	Mayıs	14.748737632698353
1	ortEnDüşSıcak	Haziran	18.74873763269835
1	ortEnDüşSıcak	Temmuz	21.94873763269835
1	ortEnDüşSıcak	Ağustos	22.34873763269835
1	ortEnDüşSıcak	Eylül	19.14873763269835
1	ortEnDüşSıcak	Ekim	14.748737632698353
1	ortEnDüşSıcak	Kasım	9.748737632698353
1	ortEnDüşSıcak	Aralık	5.848737632698352
1	ortEnDüşSıcak	Yıllık	12.848737632698352
1	ortGüneşSüre	Ocak	3.4487376326983514
1	ortGüneşSüre	Şubat	4.248737632698351
1	ortGüneşSüre	Mart	4.948737632698352
1	ortGüneşSüre	Nisan	6.0487376326983515
1	ortGüneşSüre	Mayıs	8.048737632698352
1	ortGüneşSüre	Haziran	9.448737632698352
1	ortGüneşSüre	Temmuz	9.648737632698351
1	ortGüneşSüre	Ağustos	9.148737632698351
1	ortGüneşSüre	Eylül	7.948737632698352
1	ortGüneşSüre	Ekim	6.248737632698351
1	ortGüneşSüre	Kasım	4.748737632698351
1	ortGüneşSüre	Aralık	3.2487376326983513
1	ortGüneşSüre	Yıllık	6.448737632698352
1	ortYağGünSayı	Ocak	9.948737632698352
1	ortYağGünSayı	Şubat	7.868737632698352
1	ortYağGünSayı	Mart	8.408737632698353
1	ortYağGünSayı	Nisan	6.028737632698352
1	ortYağGünSayı	Mayıs	5.638737632698351
1	ortYağGünSayı	Haziran	1.8687376326983514
1	ortYağGünSayı	Temmuz	0.8687376326983514
1	ortYağGünSayı	Ağustos	0.7187376326983514
1	ortYağGünSayı	Eylül	2.0287376326983515
1	ortYağGünSayı	Ekim	4.328737632698351
1	ortYağGünSayı	Kasım	5.408737632698351
1	ortYağGünSayı	Aralık	10.098737632698352
1	ortYağGünSayı	Yıllık	74.74873763269835
1	ayTopYağMik	Ocak	110.74873763269835
1	ayTopYağMik	Şubat	87.94873763269835
1	ayTopYağMik	Mart	64.04873763269835
1	ayTopYağMik	Nisan	50.448737632698354
1	ayTopYağMik	Mayıs	47.548737632698355
1	ayTopYağMik	Haziran	20.94873763269835
1	ayTopYağMik	Temmuz	9.248737632698353
1	ayTopYağMik	Ağustos	8.448737632698352
1	ayTopYağMik	Eylül	18.44873763269835
1	ayTopYağMik	Ekim	42.14873763269836
1	ayTopYağMik	Kasım	69.84873763269836
1	ayTopYağMik	Aralık	126.24873763269835
1	ayTopYağMik	Yıllık	667.6487376326984
1	enYükSıcak	Ocak	25.44873763269835
1	enYükSıcak	Şubat	27.44873763269835
1	enYükSıcak	Mart	30.94873763269835
1	enYükSıcak	Nisan	36.448737632698354
1	enYükSıcak	Mayıs	40.24873763269835
1	enYükSıcak	Haziran	41.74873763269835
1	enYükSıcak	Temmuz	43.34873763269835
1	enYükSıcak	Ağustos	44.548737632698355
1	enYükSıcak	Eylül	44.048737632698355
1	enYükSıcak	Ekim	40.448737632698354
1	enYükSıcak	Kasım	33.24873763269835
1	enYükSıcak	Aralık	29.74873763269835
1	enYükSıcak	Yıllık	44.548737632698355
1	enDüsSıcak	Ocak	-9.151262367301648
1	enDüsSıcak	Şubat	-7.651262367301648
1	enDüsSıcak	Mart	-5.9512623673016485
1	enDüsSıcak	Nisan	-2.351262367301649
1	enDüsSıcak	Mayıs	4.5487376326983515
1	enDüsSıcak	Haziran	8.148737632698351
1	enDüsSıcak	Temmuz	12.148737632698351
1	enDüsSıcak	Ağustos	13.748737632698353
1	enDüsSıcak	Eylül	8.248737632698353
1	enDüsSıcak	Ekim	2.4487376326983514
1	enDüsSıcak	Kasım	-5.351262367301649
1	enDüsSıcak	Aralık	-5.4512623673016485
1	enDüsSıcak	Yıllık	-9.151262367301648
2	ortSıcak	Ocak	3.548737632698351
2	ortSıcak	Şubat	4.948737632698352
2	ortSıcak	Mart	8.948737632698352
2	ortSıcak	Nisan	14.048737632698352
2	ortSıcak	Mayıs	19.54873763269835
2	ortSıcak	Haziran	25.64873763269835
2	ortSıcak	Temmuz	29.94873763269835
2	ortSıcak	Ağustos	29.64873763269835
2	ortSıcak	Eylül	24.94873763269835
2	ortSıcak	Ekim	18.24873763269835
2	ortSıcak	Kasım	10.748737632698353
2	ortSıcak	Aralık	5.5487376326983515
2	ortSıcak	Yıllık	16.34873763269835
2	ortEnYükSıcak	Ocak	7.648737632698351
2	ortEnYükSıcak	Şubat	9.348737632698352
2	ortEnYükSıcak	Mart	13.948737632698352
2	ortEnYükSıcak	Nisan	19.64873763269835
2	ortEnYükSıcak	Mayıs	25.74873763269835
2	ortEnYükSıcak	Haziran	32.24873763269835
2	ortEnYükSıcak	Temmuz	36.84873763269835
2	ortEnYükSıcak	Ağustos	36.64873763269836
2	ortEnYükSıcak	Eylül	32.048737632698355
2	ortEnYükSıcak	Ekim	24.54873763269835
2	ortEnYükSıcak	Kasım	16.04873763269835
2	ortEnYükSıcak	Aralık	9.648737632698351
2	ortEnYükSıcak	Yıllık	22.04873763269835
2	ortEnDüşSıcak	Ocak	0.34873763269835134
2	ortEnDüşSıcak	Şubat	1.3487376326983513
2	ortEnDüşSıcak	Mart	4.5487376326983515
2	ortEnDüşSıcak	Nisan	8.848737632698352
2	ortEnDüşSıcak	Mayıs	13.348737632698352
2	ortEnDüşSıcak	Haziran	18.64873763269835
2	ortEnDüşSıcak	Temmuz	22.64873763269835
2	ortEnDüşSıcak	Ağustos	22.44873763269835
2	ortEnDüşSıcak	Eylül	18.04873763269835
2	ortEnDüşSıcak	Ekim	12.748737632698353
2	ortEnDüşSıcak	Kasım	6.5487376326983515
2	ortEnDüşSıcak	Aralık	2.3487376326983513
2	ortEnDüşSıcak	Yıllık	10.948737632698352
2	ortGüneşSüre	Ocak	2.7487376326983513
2	ortGüneşSüre	Şubat	3.548737632698351
2	ortGüneşSüre	Mart	4.748737632698351
2	ortGüneşSüre	Nisan	6.248737632698351
2	ortGüneşSüre	Mayıs	8.248737632698353
2	ortGüneşSüre	Haziran	10.548737632698352
2	ortGüneşSüre	Temmuz	11.048737632698352
2	ortGüneşSüre	Ağustos	10.248737632698353
2	ortGüneşSüre	Eylül	8.648737632698351
2	ortGüneşSüre	Ekim	6.148737632698351
2	ortGüneşSüre	Kasım	4.348737632698352
2	ortGüneşSüre	Aralık	2.7487376326983513
2	ortGüneşSüre	Yıllık	6.648737632698351
2	ortYağGünSayı	Ocak	11.638737632698351
2	ortYağGünSayı	Şubat	7.568737632698351
2	ortYağGünSayı	Mart	8.098737632698352
2	ortYağGünSayı	Nisan	7.7187376326983514
2	ortYağGünSayı	Mayıs	6.948737632698352
2	ortYağGünSayı	Haziran	1.3287376326983513
2	ortYağGünSayı	Temmuz	-0.4312623673016486
2	ortYağGünSayı	Ağustos	-0.5912623673016486
2	ortYağGünSayı	Eylül	0.3287376326983513
2	ortYağGünSayı	Ekim	5.638737632698351
2	ortYağGünSayı	Kasım	6.178737632698352
2	ortYağGünSayı	Aralık	10.568737632698351
2	ortYağGünSayı	Yıllık	76.54873763269835
2	ayTopYağMik	Ocak	138.74873763269835
2	ayTopYağMik	Şubat	98.84873763269836
2	ayTopYağMik	Mart	89.64873763269836
2	ayTopYağMik	Nisan	64.64873763269836
2	ayTopYağMik	Mayıs	41.24873763269835
2	ayTopYağMik	Haziran	7.0487376326983515
2	ayTopYağMik	Temmuz	0.6487376326983514
2	ayTopYağMik	Ağustos	0.8487376326983513
2	ayTopYağMik	Eylül	6.5487376326983515
2	ayTopYağMik	Ekim	44.74873763269835
2	ayTopYağMik	Kasım	74.14873763269836
2	ayTopYağMik	Aralık	136.44873763269834
2	ayTopYağMik	Yıllık	715.1487376326984
2	enYükSıcak	Ocak	18.84873763269835
2	enYükSıcak	Şubat	22.74873763269835
2	enYükSıcak	Mart	27.24873763269835
2	enYükSıcak	Nisan	33.448737632698354
2	enYükSıcak	Mayıs	37.948737632698354
2	enYükSıcak	Haziran	40.448737632698354
2	enYükSıcak	Temmuz	44.24873763269835
2	enYükSıcak	Ağustos	43.448737632698354
2	enYükSıcak	Eylül	41.14873763269836
2	enYükSıcak	Ekim	35.048737632698355
2	enYükSıcak	Kasım	28.34873763269835
2	enYükSıcak	Aralık	25.44873763269835
2	enYükSıcak	Yıllık	44.24873763269835
2	enDüsSıcak	Ocak	-15.451262367301648
2	enDüsSıcak	Şubat	-11.051262367301648
2	enDüsSıcak	Mart	-8.051262367301648
2	enDüsSıcak	Nisan	-3.0512623673016486
2	enDüsSıcak	Mayıs	2.3487376326983513
2	enDüsSıcak	Haziran	9.548737632698352
2	enDüsSıcak	Temmuz	13.948737632698352
2	enDüsSıcak	Ağustos	14.748737632698353
2	enDüsSıcak	Eylül	8.548737632698352
2	enDüsSıcak	Ekim	1.1487376326983516
2	enDüsSıcak	Kasım	-4.551262367301648
2	enDüsSıcak	Aralık	-9.451262367301648
2	enDüsSıcak	Yıllık	-15.451262367301648
3	ortSıcak	Ocak	-0.7512623673016485
3	ortSıcak	Şubat	0.7487376326983515
3	ortSıcak	Mart	4.248737632698351
3	ortSıcak	Nisan	9.348737632698352
3	ortSıcak	Mayıs	14.048737632698352
3	ortSıcak	Haziran	17.84873763269835
3	ortSıcak	Temmuz	21.14873763269835
3	ortSıcak	Ağustos	21.04873763269835
3	ortSıcak	Eylül	16.74873763269835
3	ortSıcak	Ekim	11.348737632698352
3	ortSıcak	Kasım	5.948737632698352
3	ortSıcak	Aralık	1.3487376326983513
3	ortSıcak	Yıllık	10.248737632698353
3	ortEnYükSıcak	Ocak	3.4487376326983514
3	ortEnYükSıcak	Şubat	5.448737632698352
3	ortEnYükSıcak	Mart	9.848737632698352
3	ortEnYükSıcak	Nisan	15.34873763269835
3	ortEnYükSıcak	Mayıs	20.24873763269835
3	ortEnYükSıcak	Haziran	24.54873763269835
3	ortEnYükSıcak	Temmuz	28.44873763269835
3	ortEnYükSıcak	Ağustos	28.54873763269835
3	ortEnYükSıcak	Eylül	24.24873763269835
3	ortEnYükSıcak	Ekim	18.34873763269835
3	ortEnYükSıcak	Kasım	11.748737632698353
3	ortEnYükSıcak	Aralık	5.5487376326983515
3	ortEnYükSıcak	Yıllık	16.34873763269835
3	ortEnDüşSıcak	Ocak	-4.551262367301648
3	ortEnDüşSıcak	Şubat	-3.4512623673016485
3	ortEnDüşSıcak	Mart	-0.9512623673016486
3	ortEnDüşSıcak	Nisan	3.1487376326983516
3	ortEnDüşSıcak	Mayıs	7.148737632698351
3	ortEnDüşSıcak	Haziran	10.148737632698351
3	ortEnDüşSıcak	Temmuz	12.648737632698351
