model,type,blok,metric,score
MLR,train,Blok1,R2,0.213144218944887
MLR,train,Blok1,MAE,1509.17414666263
MLR,train,Blok1,RMSE,1886.79179298621
MLR,train,Blok1,MAPE,0.28393990880833
MLR,train,Blok1,RMSPE,0.450020175036424
MLR,test,Blok1,R2,0.217252326318261
MLR,test,Blok1,MAE,1481.47984052159
MLR,test,Blok1,RMSE,1899.53765709033
MLR,test,Blok1,MAPE,0.274598417121779
MLR,test,Blok1,RMSPE,0.430172375656737
MLR,train,Blok2,R2,0.200373001985463
MLR,train,Blok2,MAE,1497.78205233617
MLR,train,Blok2,RMSE,1889.55286677404
MLR,train,Blok2,MAPE,0.2825486707902
MLR,train,Blok2,RMSPE,0.471164586715338
MLR,test,Blok2,R2,0.189326059876489
MLR,test,Blok2,MAE,1497.37373321838
MLR,test,Blok2,RMSE,1902.92761769353
MLR,test,Blok2,MAPE,0.277393094412706
MLR,test,Blok2,RMSPE,0.427668962322656
MLR,train,Blok3,R2,0.201457601132092
MLR,train,Blok3,MAE,1485.68017269121
MLR,train,Blok3,RMSE,1871.33624692729
MLR,train,Blok3,MAPE,0.266917747277853
MLR,train,Blok3,RMSPE,0.395011494383971
MLR,test,Blok3,R2,0.205033223895152
MLR,test,Blok3,MAE,1459.73193359424
MLR,test,Blok3,RMSE,1824.26987860448
MLR,test,Blok3,MAPE,0.272151152237649
MLR,test,Blok3,RMSPE,0.430215963774885
MLR,train,Blok4,R2,0.18532183559418
MLR,train,Blok4,MAE,1503.13478231812
MLR,train,Blok4,RMSE,1896.1385228093
MLR,train,Blok4,MAPE,0.279909226092487
MLR,train,Blok4,RMSPE,0.456004179295645
MLR,test,Blok4,R2,0.204925196102209
MLR,test,Blok4,MAE,1502.24976331934
MLR,test,Blok4,RMSE,1898.93786074041
MLR,test,Blok4,MAPE,0.287854239208556
MLR,test,Blok4,RMSPE,0.518055420112313
MLR,train,Blok5,R2,0.228825136643119
MLR,train,Blok5,MAE,1458.91584519301
MLR,train,Blok5,RMSE,1841.36628458127
MLR,train,Blok5,MAPE,0.270294559647719
MLR,train,Blok5,RMSPE,0.423883439140713
MLR,test,Blok5,R2,0.202027873115683
MLR,test,Blok5,MAE,1520.33925762777
MLR,test,Blok5,RMSE,1913.19357429648
MLR,test,Blok5,MAPE,0.282558853160108
MLR,test,Blok5,RMSPE,0.441328068972698
